number,name,status
1,PEP Purpose and Guidelines,
2,Procedure for Adding New Modules,S
3,Guidelines for Handling Bug Reports,W
4,Deprecation of Standard Modules,
5,Guidelines for Language Evolution,
6,Bug Fix Releases,
7,Style Guide for C Code,
8,Style Guide for Python Code,
9,Sample Plaintext PEP Template,W
10,Voting Guidelines,
11,CPython platform support,
12,Sample reStructuredText PEP Template,
13,Python Language Governance,
20,The Zen of Python,
42,Feature Requests,W
100,Python Unicode Integration,F
101,Doing Python Releases 101,
102,Doing Python Micro Releases,S
103,Collecting information about git,W
160,Python 1.6 Release Schedule,F
200,Python 2.0 Release Schedule,F
201,Lockstep Iteration,F
202,List Comprehensions,F
203,Augmented Assignments,F
204,Range Literals,R
205,Weak References,F
206,Python Advanced Library,W
207,Rich Comparisons,F
208,Reworking the Coercion Model,F
209,Multi-dimensional Arrays,W
210,Decoupling the Interpreter Loop,R
211,Adding A New Outer Product Operator,R
212,Loop Counter Iteration,R
213,Attribute Access Handlers,D
214,Extended Print Statement,F
215,String Interpolation,S
216,Docstring Format,R
217,Display Hook for Interactive Use,F
218,Adding a Built-In Set Object Type,F
219,Stackless Python,D
220,"Coroutines, Generators, Continuations",R
221,Import As,F
222,Web Library Enhancements,D
223,Change the Meaning of x Escapes,F
224,Attribute Docstrings,R
225,Elementwise/Objectwise Operators,R
226,Python 2.1 Release Schedule,F
227,Statically Nested Scopes,F
228,Reworking Python’s Numeric Model,W
229,Using Distutils to Build Python,F
230,Warning Framework,F
231,__findattr__(),R
232,Function Attributes,F
233,Python Online Help,D
234,Iterators,F
235,Import on Case-Insensitive Platforms,F
236,Back to the __future__,F
237,Unifying Long Integers and Integers,F
238,Changing the Division Operator,F
239,Adding a Rational Type to Python,R
240,Adding a Rational Literal to Python,R
241,Metadata for Python Software Packages,F
242,Numeric Kinds,R
243,Module Repository Upload Mechanism,W
244,The directive statement,R
245,Python Interface Syntax,R
246,Object Adaptation,R
247,API for Cryptographic Hash Functions,F
248,Python Database API Specification v1.0,F
249,Python Database API Specification v2.0,F
250,Using site-packages on Windows,F
251,Python 2.2 Release Schedule,F
252,Making Types Look More Like Classes,F
253,Subtyping Built-in Types,F
254,Making Classes Look More Like Types,R
255,Simple Generators,F
256,Docstring Processing System Framework,R
257,Docstring Conventions,
258,Docutils Design Specification,R
259,Omit printing newline after newline,R
260,Simplify xrange(),F
261,Support for “wide” Unicode characters,F
262,A Database of Installed Python Packages,D
263,Defining Python Source Code Encodings,F
264,Future statements in simulated shells,F
265,Sorting Dictionaries by Value,R
266,Optimizing Global Variable/Attribute Access,W
267,Optimized Access to Module Namespaces,D
268,Extended HTTP functionality and WebDAV,R
269,Pgen Module for Python,D
270,uniq method for list objects,R
271,Prefixing sys.path by command line option,R
272,API for Block Encryption Algorithms v1.0,F
273,Import Modules from Zip Archives,F
274,Dict Comprehensions,F
275,Switching on Multiple Values,R
276,Simple Iterator for ints,R
277,Unicode file name support for Windows NT,F
278,Universal Newline Support,F
279,The enumerate() built-in function,F
280,Optimizing access to globals,D
281,Loop Counter Iteration with range and xrange,R
282,A Logging System,F
283,Python 2.3 Release Schedule,F
284,Integer for-loops,R
285,Adding a bool type,F
286,Enhanced Argument Tuples,D
287,reStructuredText Docstring Format,
288,Generators Attributes and Exceptions,W
289,Generator Expressions,F
290,Code Migration and Modernization,
291,Backward Compatibility for the Python 2 Standard Library,F
292,Simpler String Substitutions,F
293,Codec Error Handling Callbacks,F
294,Type Names in the types Module,R
295,Interpretation of multiline string constants,R
296,Adding a bytes Object Type,W
297,Support for System Upgrades,R
298,The Locked Buffer Interface,W
299,Special __main__() function in modules,R
301,Package Index and Metadata for Distutils,F
302,New Import Hooks,F
303,Extend divmod() for Multiple Divisors,R
304,Controlling Generation of Bytecode Files,W
305,CSV File API,F
306,How to Change Python’s Grammar,W
307,Extensions to the pickle protocol,F
308,Conditional Expressions,F
309,Partial Function Application,F
310,Reliable Acquisition/Release Pairs,R
311,Simplified Global Interpreter Lock Acquisition for Extensions,F
312,Simple Implicit Lambda,D
313,Adding Roman Numeral Literals to Python,R
314,Metadata for Python Software Packages v1.1,F
315,Enhanced While Loop,R
316,Programming by Contract for Python,D
317,Eliminate Implicit Exception Instantiation,R
318,Decorators for Functions and Methods,F
319,Python Synchronize/Asynchronize Block,R
320,Python 2.4 Release Schedule,F
321,Date/Time Parsing and Formatting,W
322,Reverse Iteration,F
323,Copyable Iterators,D
324,subprocess - New process module,F
325,Resource-Release Support for Generators,R
326,A Case for Top and Bottom Values,R
327,Decimal Data Type,F
328,Imports: Multi-Line and Absolute/Relative,F
329,Treating Builtins as Constants in the Standard Library,R
330,Python Bytecode Verification,R
331,Locale-Independent Float/String Conversions,F
332,Byte vectors and String/Unicode Unification,R
333,Python Web Server Gateway Interface v1.0,F
334,Simple Coroutines via SuspendIteration,W
335,Overloadable Boolean Operators,R
336,Make None Callable,R
337,Logging Usage in the Standard Library,D
338,Executing modules as scripts,F
339,Design of the CPython Compiler,W
340,Anonymous Block Statements,R
341,Unifying try-except and try-finally,F
342,Coroutines via Enhanced Generators,F
343,The “with” Statement,F
